Source,Target,Type,Id,Label,Weight
10002,20750,Undirected,0,,4
10002,21452,Undirected,1,,6
10002,22086,Undirected,2,,2
10002,22562,Undirected,3,,4
10002,22652,Undirected,4,,4
10002,22653,Undirected,5,,4
10002,22736,Undirected,6,,4
10002,22739,Undirected,7,,4
10002,22834,Undirected,8,,4
10002,22910,Undirected,9,,2
10002,22952,Undirected,10,,4
10002,22961,Undirected,11,,2
10002,22968,Undirected,12,,4
10002,85123A,Undirected,13,,2
10120,16237,Undirected,14,,6
10120,20749,Undirected,15,,4
10120,20961,Undirected,16,,6
10120,20963,Undirected,17,,4
10120,20986,Undirected,18,,4
10120,21034,Undirected,19,,2
10120,21891,Undirected,20,,4
10120,22148,Undirected,21,,4
10120,22383,Undirected,22,,4
10120,22399,Undirected,23,,4
10120,22493,Undirected,24,,4
10120,22560,Undirected,25,,4
10120,22562,Undirected,26,,4
10120,22620,Undirected,27,,4
10120,22621,Undirected,28,,4
10120,22756,Undirected,29,,4
10120,22757,Undirected,30,,4
10120,22758,Undirected,31,,4
10120,22959,Undirected,32,,4
10120,22960,Undirected,33,,2
10120,22966,Undirected,34,,4
10120,23321,Undirected,35,,2
10120,84006,Undirected,36,,4
10120,84012,Undirected,37,,4
10125,20719,Undirected,38,,4
10125,20727,Undirected,39,,4
10125,21122,Undirected,40,,4
10125,21126,Undirected,41,,4
10125,21210,Undirected,42,,4
10125,21212,Undirected,43,,3
10125,21733,Undirected,44,,2
10125,21791,Undirected,45,,4
10125,21980,Undirected,46,,4
10125,21985,Undirected,47,,4
10125,22133,Undirected,48,,4
10125,22197,Undirected,49,,2
10125,22356,Undirected,50,,4
10125,22382,Undirected,51,,4
10125,22551,Undirected,52,,4
10125,22557,Undirected,53,,2
10125,22558,Undirected,54,,2
10125,22577,Undirected,55,,3
10125,22759,Undirected,56,,4
10125,84199,Undirected,57,,4
10125,85123A,Undirected,58,,2
10133,10135,Undirected,59,,6
10133,20974,Undirected,60,,4
10133,20975,Undirected,61,,4
10133,20984,Undirected,62,,4
10133,21034,Undirected,63,,2
10133,21381,Undirected,64,,4
10133,21386,Undirected,65,,4
10133,21485,Undirected,66,,4
10133,21790,Undirected,67,,4
10133,21890,Undirected,68,,4
10133,22077,Undirected,69,,2
10133,22082,Undirected,70,,4
10133,22113,Undirected,71,,2
10133,22161,Undirected,72,,4
10133,22174,Undirected,73,,4
10133,22208,Undirected,74,,6
10133,22210,Undirected,75,,4
10133,22374,Undirected,76,,4
10133,22470,Undirected,77,,2
10133,22489,Undirected,78,,6
10133,22491,Undirected,79,,4
10133,22558,Undirected,80,,3
10133,22560,Undirected,81,,6
10133,22561,Undirected,82,,6
10133,22606,Undirected,83,,4
10133,22609,Undirected,84,,4
10133,22619,Undirected,85,,4
10133,22620,Undirected,86,,4
10133,22621,Undirected,87,,4
10133,22969,Undirected,88,,2
10133,23084,Undirected,89,,4
10133,23167,Undirected,90,,4
10133,23177,Undirected,91,,4
10133,23190,Undirected,92,,4
10133,23192,Undirected,93,,4
10133,23263,Undirected,94,,4
10133,23310,Undirected,95,,4
10133,23571,Undirected,96,,4
10133,84978,Undirected,97,,4
10133,90114,Undirected,98,,4
10133,85049G,Undirected,99,,4
10133,85132B,Undirected,100,,4
10133,85132C,Undirected,101,,4
10135,20727,Undirected,103,,4
10135,20982,Undirected,104,,4
10135,20986,Undirected,105,,4
10135,21034,Undirected,106,,2
10135,21257,Undirected,107,,4
10135,21314,Undirected,108,,4
10135,21485,Undirected,109,,8
10135,21790,Undirected,110,,6
10135,21891,Undirected,111,,4
10135,21892,Undirected,112,,4
10135,21903,Undirected,113,,4
10135,21912,Undirected,114,,4
10135,21914,Undirected,115,,4
10135,21915,Undirected,116,,4
10135,22077,Undirected,117,,2
10135,22111,Undirected,118,,2
10135,22112,Undirected,119,,2
10135,22114,Undirected,120,,4
10135,22150,Undirected,121,,4
10135,22191,Undirected,122,,4
10135,22222,Undirected,123,,4
10135,22349,Undirected,124,,4
10135,22402,Undirected,125,,4
10135,22423,Undirected,126,,2
10135,22429,Undirected,127,,4
10135,22489,Undirected,128,,4
10135,22491,Undirected,129,,4
10135,22492,Undirected,130,,6
10135,22560,Undirected,131,,4
10135,22561,Undirected,132,,8
10135,22620,Undirected,133,,6
10135,22624,Undirected,134,,4
10135,22646,Undirected,135,,4
10135,22654,Undirected,136,,4
10135,22662,Undirected,137,,4
10135,22776,Undirected,138,,4
10135,22782,Undirected,139,,4
10135,22835,Undirected,140,,4
10135,22891,Undirected,141,,4
10135,23084,Undirected,142,,4
10135,23118,Undirected,143,,4
10135,23167,Undirected,144,,4
10135,23321,Undirected,145,,2
10135,23322,Undirected,146,,4
